CaWO4_3CaCO3(40mg)_VL_260728
Température four	Temps	TG	
/°C	/s	/mg	
202.87	1715	-0.0636	
203.31	1718	-0.0632	
203.75	1720	-0.0633	
204.18	1723	-0.0637	
204.62	1725	-0.0636	
205.06	1728	-0.0633	
205.50	1730	-0.0637	
205.94	1733	-0.0638	
206.37	1735	-0.0638	
206.81	1738	-0.0637	
207.25	1740	-0.0637	
207.69	1743	-0.0641	
208.13	1745	-0.0640	
208.57	1748	-0.0636	
209.01	1750	-0.0640	
209.45	1753	-0.0641	
209.89	1755	-0.0640	
210.33	1758	-0.0636	
210.77	1760	-0.0644	
211.21	1763	-0.0644	
211.65	1765	-0.0641	
212.09	1768	-0.0639	
212.53	1770	-0.0643	
212.97	1773	-0.0645	
213.40	1775	-0.0641	
213.84	1778	-0.0639	
214.28	1780	-0.0644	
214.72	1783	-0.0646	
215.16	1785	-0.0642	
215.60	1788	-0.0640	
216.03	1790	-0.0643	
216.47	1793	-0.0645	
216.91	1795	-0.0643	
217.35	1798	-0.0641	
217.78	1800	-0.0646	
218.22	1803	-0.0647	
218.66	1805	-0.0643	
219.09	1808	-0.0642	
219.53	1810	-0.0645	
219.96	1813	-0.0648	
220.40	1815	-0.0643	
220.84	1818	-0.0644	
221.27	1820	-0.0648	
221.71	1823	-0.0649	
222.15	1825	-0.0645	
222.58	1828	-0.0645	
223.02	1830	-0.0648	
223.46	1833	-0.0648	
223.90	1835	-0.0647	
224.34	1838	-0.0648	
224.77	1840	-0.0651	
225.21	1843	-0.0650	
225.65	1845	-0.0646	
226.09	1848	-0.0649	
226.52	1850	-0.0652	
226.96	1853	-0.0650	
227.40	1855	-0.0648	
227.84	1858	-0.0651	
228.28	1860	-0.0654	
228.72	1863	-0.0652	
229.16	1865	-0.0649	
229.59	1868	-0.0652	
230.03	1870	-0.0655	
230.46	1873	-0.0653	
230.90	1875	-0.0651	
231.34	1878	-0.0656	
231.77	1880	-0.0657	
232.21	1883	-0.0653	
232.64	1885	-0.0651	
233.08	1888	-0.0657	
233.52	1890	-0.0658	
233.95	1893	-0.0654	
234.39	1895	-0.0653	
234.82	1898	-0.0657	
235.26	1900	-0.0659	
235.69	1903	-0.0657	
236.13	1905	-0.0654	
236.57	1908	-0.0656	
237.00	1910	-0.0660	
237.44	1913	-0.0658	
237.87	1915	-0.0657	
238.31	1918	-0.0660	
238.75	1920	-0.0663	
239.18	1923	-0.0657	
239.62	1925	-0.0657	
240.05	1928	-0.0661	
240.48	1930	-0.0661	
240.92	1933	-0.0657	
241.35	1935	-0.0658	
241.79	1938	-0.0663	
242.22	1940	-0.0662	
242.66	1943	-0.0661	
243.09	1945	-0.0660	
243.52	1948	-0.0662	
243.96	1950	-0.0663	
244.39	1953	-0.0660	
244.82	1955	-0.0661	
245.26	1958	-0.0663	
245.69	1960	-0.0665	
246.13	1963	-0.0662	
246.56	1965	-0.0665	
246.99	1968	-0.0667	
247.43	1970	-0.0665	
247.86	1973	-0.0665	
248.29	1975	-0.0666	
248.72	1978	-0.0667	
249.15	1980	-0.0666	
249.58	1983	-0.0663	
250.02	1985	-0.0668	
250.44	1988	-0.0668	
250.88	1990	-0.0666	
251.30	1993	-0.0666	
251.73	1995	-0.0667	
252.16	1998	-0.0672	
252.59	2000	-0.0668	
253.02	2003	-0.0665	
253.45	2005	-0.0670	
253.88	2008	-0.0670	
254.30	2010	-0.0669	
254.73	2013	-0.0666	
255.16	2015	-0.0668	
255.59	2018	-0.0669	
256.02	2020	-0.0668	
256.45	2023	-0.0667	
256.88	2025	-0.0672	
257.31	2028	-0.0672	
257.73	2030	-0.0668	
258.16	2033	-0.0666	
258.59	2035	-0.0673	
259.02	2038	-0.0672	
259.45	2040	-0.0670	
259.87	2043	-0.0670	
260.30	2045	-0.0672	
260.74	2048	-0.0674	
261.16	2050	-0.0669	
261.59	2053	-0.0669	
262.02	2055	-0.0672	
262.45	2058	-0.0673	
262.88	2060	-0.0671	
263.31	2063	-0.0672	
263.74	2065	-0.0676	
264.17	2068	-0.0672	
264.60	2070	-0.0671	
265.03	2073	-0.0672	
265.46	2075	-0.0677	
265.89	2078	-0.0674	
266.31	2080	-0.0671	
266.74	2083	-0.0675	
267.17	2085	-0.0676	
267.60	2088	-0.0675	
268.02	2090	-0.0672	
268.45	2093	-0.0679	
268.87	2095	-0.0680	
269.30	2098	-0.0676	
269.72	2100	-0.0674	
270.15	2103	-0.0680	
270.57	2105	-0.0682	
271.00	2108	-0.0677	
271.42	2110	-0.0675	
271.84	2113	-0.0679	
272.27	2115	-0.0684	
272.69	2118	-0.0678	
273.12	2120	-0.0679	
273.54	2123	-0.0680	
273.97	2125	-0.0683	
274.40	2128	-0.0679	
274.82	2130	-0.0680	
275.25	2133	-0.0681	
275.68	2135	-0.0685	
276.11	2138	-0.0681	
276.54	2140	-0.0682	
276.97	2143	-0.0684	
277.40	2145	-0.0683	
277.83	2148	-0.0681	
278.26	2150	-0.0681	
278.69	2153	-0.0684	
279.12	2155	-0.0685	
279.55	2158	-0.0683	
279.98	2160	-0.0684	
280.41	2163	-0.0685	
280.84	2165	-0.0686	
281.27	2168	-0.0683	
281.70	2170	-0.0687	
282.13	2173	-0.0686	
282.56	2175	-0.0686	
282.99	2178	-0.0685	
283.41	2180	-0.0688	
283.84	2183	-0.0690	
284.27	2185	-0.0687	
284.70	2188	-0.0687	
285.12	2190	-0.0689	
285.55	2193	-0.0689	
285.98	2195	-0.0688	
286.41	2198	-0.0687	
286.83	2200	-0.0690	
287.26	2203	-0.0693	
287.69	2205	-0.0689	
288.11	2208	-0.0686	
288.54	2210	-0.0694	
288.97	2213	-0.0693	
289.39	2215	-0.0690	
289.82	2218	-0.0690	
290.25	2220	-0.0692	
290.67	2223	-0.0694	
291.10	2225	-0.0690	
291.52	2228	-0.0693	
291.95	2230	-0.0694	
292.38	2233	-0.0695	
292.80	2235	-0.0692	
293.23	2238	-0.0691	
293.65	2240	-0.0694	
294.07	2243	-0.0696	
294.49	2245	-0.0692	
294.91	2248	-0.0691	
295.34	2250	-0.0693	
295.76	2253	-0.0694	
296.18	2255	-0.0691	
296.60	2258	-0.0692	
297.02	2260	-0.0694	
297.44	2263	-0.0694	
297.86	2265	-0.0691	
298.28	2268	-0.0693	
298.70	2270	-0.0696	
299.12	2273	-0.0696	
299.54	2275	-0.0692	
299.96	2278	-0.0696	
300.38	2280	-0.0697	
300.80	2283	-0.0698	
301.22	2285	-0.0693	
301.65	2288	-0.0695	
302.07	2290	-0.0697	
302.50	2293	-0.0696	
302.92	2295	-0.0695	
303.35	2298	-0.0698	
303.78	2300	-0.0701	
304.20	2303	-0.0699	
304.63	2305	-0.0697	
305.06	2308	-0.0702	
305.49	2310	-0.0702	
305.92	2313	-0.0697	
306.34	2315	-0.0697	
306.77	2318	-0.0702	
307.20	2320	-0.0704	
307.63	2323	-0.0699	
308.05	2325	-0.0698	
308.48	2328	-0.0703	
308.91	2330	-0.0705	
309.33	2333	-0.0699	
309.76	2335	-0.0701	
310.18	2338	-0.0705	
310.61	2340	-0.0704	
311.03	2343	-0.0701	
311.46	2345	-0.0703	
311.88	2348	-0.0705	
312.31	2350	-0.0704	
312.73	2353	-0.0702	
313.15	2355	-0.0704	
313.58	2358	-0.0709	
314.00	2360	-0.0704	
314.43	2363	-0.0705	
314.85	2365	-0.0705	
315.28	2368	-0.0709	
315.71	2370	-0.0708	
316.13	2373	-0.0705	
316.55	2375	-0.0707	
316.98	2378	-0.0709	
317.41	2380	-0.0705	
317.84	2383	-0.0704	
318.26	2385	-0.0708	
318.69	2388	-0.0710	
319.12	2390	-0.0708	
319.55	2393	-0.0706	
319.97	2395	-0.0711	
320.40	2398	-0.0711	
320.83	2400	-0.0709	
321.26	2403	-0.0706	
321.69	2405	-0.0711	
322.12	2408	-0.0714	
322.55	2410	-0.0710	
322.98	2413	-0.0709	
323.41	2415	-0.0713	
323.84	2418	-0.0714	
324.26	2420	-0.0712	
324.69	2423	-0.0710	
325.12	2425	-0.0713	
325.54	2428	-0.0716	
325.97	2430	-0.0712	
326.40	2433	-0.0710	
326.82	2435	-0.0714	
327.25	2438	-0.0715	
327.67	2440	-0.0714	
328.10	2443	-0.0713	
328.53	2445	-0.0715	
328.96	2448	-0.0718	
329.39	2450	-0.0713	
329.81	2453	-0.0714	
330.24	2455	-0.0720	
330.67	2458	-0.0717	
331.10	2460	-0.0715	
331.53	2463	-0.0714	
331.95	2465	-0.0719	
332.38	2468	-0.0715	
332.80	2470	-0.0714	
333.23	2473	-0.0718	
333.66	2475	-0.0720	
334.08	2478	-0.0715	
334.51	2480	-0.0715	
334.93	2483	-0.0718	
335.35	2485	-0.0721	
335.78	2488	-0.0717	
336.20	2490	-0.0714	
336.63	2493	-0.0719	
337.04	2495	-0.0721	
337.47	2498	-0.0719	
337.89	2500	-0.0717	
338.32	2503	-0.0722	
338.74	2505	-0.0722	
339.16	2508	-0.0719	
339.58	2510	-0.0719	
340.00	2513	-0.0722	
340.41	2515	-0.0724	
340.83	2518	-0.0721	
341.25	2520	-0.0719	
341.66	2523	-0.0724	
342.08	2525	-0.0726	
342.49	2528	-0.0725	
342.90	2530	-0.0720	
343.32	2533	-0.0724	
